input_naics,other_naics1,other_naics2,other_naics3,other_naics4,other_naics5,other_naics6,other_naics7,other_naics8,other_naics9,other_naics10
1111,,,,,,,,,,
1112,,,,,,,,,,
1113,,,,,,,,,,
1114,,,,,,,,,,
1119,,,,,,,,,,
1121,,,,,,,,,,
1123,,,,,,,,,,
112A,1122,1124,1125,1129,,,,,,
1130,,,,,,,,,,
1140,,,,,,,,,,
1150,,,,,,,,,,
2110,,,,,,,,,,
2121,,,,,,,,,,
2122,,,,,,,,,,
2123,,,,,,,,,,
2131,,,,,,,,,,
2211,,,,,,,,,,
2212,,,,,,,,,,
2213,,,,,,,,,,
2303,,,,,,,,,,
2332,,,,,,,,,,
2334,,,,,,,,,,
3111,,,,,,,,,,
3112,,,,,,,,,,
3113,,,,,,,,,,
3114,,,,,,,,,,
3115,,,,,,,,,,
3116,,,,,,,,,,
3117,,,,,,,,,,
3118,,,,,,,,,,
3119,,,,,,,,,,
3121,,,,,,,,,,
3122,,,,,,,,,,
3131,,,,,,,,,,
3132,,,,,,,,,,
3133,,,,,,,,,,
3141,,,,,,,,,,
3149,,,,,,,,,,
3150,,,,,,,,,,
3160,,,,,,,,,,
3211,,,,,,,,,,
3212,,,,,,,,,,
3219,,,,,,,,,,
3221,,,,,,,,,,
3222,,,,,,,,,,
3231,,,,,,,,,,
3241,,,,,,,,,,
3251,,,,,,,,,,
3252,,,,,,,,,,
3253,,,,,,,,,,
3254,,,,,,,,,,
3255,,,,,,,,,,
3256,,,,,,,,,,
3259,,,,,,,,,,
3261,,,,,,,,,,
3262,,,,,,,,,,
3271,,,,,,,,,,
3272,,,,,,,,,,
3273,,,,,,,,,,
3274,,,,,,,,,,
3279,,,,,,,,,,
3311,,,,,,,,,,
3312,,,,,,,,,,
3313,,,,,,,,,,
3314,,,,,,,,,,
3315,,,,,,,,,,
3321,,,,,,,,,,
3322,,,,,,,,,,
3323,,,,,,,,,,
3324,,,,,,,,,,
3325,,,,,,,,,,
3326,,,,,,,,,,
3327,,,,,,,,,,
3328,,,,,,,,,,
3329,,,,,,,,,,
3331,,,,,,,,,,
3332,,,,,,,,,,
3333,,,,,,,,,,
3334,,,,,,,,,,
3335,,,,,,,,,,
3336,,,,,,,,,,
3339,,,,,,,,,,
3341,,,,,,,,,,
3342,,,,,,,,,,
3343,,,,,,,,,,
3344,,,,,,,,,,
3345,,,,,,,,,,
3346,,,,,,,,,,
3351,,,,,,,,,,
3352,,,,,,,,,,
3353,,,,,,,,,,
3359,,,,,,,,,,
3361,,,,,,,,,,
3362,,,,,,,,,,
3363,,,,,,,,,,
3364,,,,,,,,,,
3365,,,,,,,,,,
3366,,,,,,,,,,
3369,,,,,,,,,,
3371,,,,,,,,,,
3372,,,,,,,,,,
3379,,,,,,,,,,
3391,,,,,,,,,,
3399,,,,,,,,,,
4200,,,,,,,,,,
4231,,,,,,,,,,
4234,,,,,,,,,,
4236,,,,,,,,,,
4238,,,,,,,,,,
423A,4232,4233,4235,4237,4239,,,,,
4242,,,,,,,,,,
4244,,,,,,,,,,
4247,,,,,,,,,,
424A,4241,4243,4245,4246,4248,4249,,,,
4250,,,,,,,,,,
4410,,,,,,,,,,
4440,,,,,,,,,,
4450,,,,,,,,,,
4460,,,,,,,,,,
4470,,,,,,,,,,
4480,,,,,,,,,,
4520,,,,,,,,,,
4540,,,,,,,,,,
4810,,,,,,,,,,
4820,,,,,,,,,,
4830,,,,,,,,,,
4840,,,,,,,,,,
4850,,,,,,,,,,
4860,,,,,,,,,,
48A0,487,488,,,,,,,,
4910,,,,,,,,,,
4920,,,,,,,,,,
4930,,,,,,,,,,
4B00,442,443,451,453,,,,,,
5111,,,,,,,,,,
5112,,,,,,,,,,
5121,,,,,,,,,,
5122,,,,,,,,,,
5151,,,,,,,,,,
5152,,,,,,,,,,
5171,,,,,,,,,,
5172,,,,,,,,,,
517A,5174,5175,5176,5177,5178,5179,,,,
5182,,,,,,,,,,
5191,,,,,,,,,,
522A,5222,5223,,,,,,,,
5239,,,,,,,,,,
523A,5231,5232,,,,,,,,
5241,,,,,,,,,,
5242,,,,,,,,,,
5250,,,,,,,,,,
52A0,5221,,,,,,,,,
531H,DELETE,,,,,,,,,
531O,531,,,,,,,,,
5321,,,,,,,,,,
5324,,,,,,,,,,
532A,5322,5323,,,,,,,,
5330,,,,,,,,,,
5411,,,,,,,,,,
5412,,,,,,,,,,
5413,,,,,,,,,,
5414,,,,,,,,,,
5415,,,,,,,,,,
5416,,,,,,,,,,
5417,,,,,,,,,,
5418,,,,,,,,,,
5419,,,,,,,,,,
5500,,,,,,,,,,
5611,,,,,,,,,,
5612,,,,,,,,,,
5613,,,,,,,,,,
5614,,,,,,,,,,
5615,,,,,,,,,,
5616,,,,,,,,,,
5617,,,,,,,,,,
5619,,,,,,,,,,
5620,,,,,,,,,,
6111,,,,,,,,,,
611A,6112,6113,,,,,,,,
611B,6114,6115,6116,6117,,,,,,
6211,,,,,,,,,,
6212,,,,,,,,,,
6213,,,,,,,,,,
6214,,,,,,,,,,
6215,,,,,,,,,,
6216,,,,,,,,,,
6219,,,,,,,,,,
6220,,,,,,,,,,
623A,6231,6233,,,,,,,,
623B,6232,6239,,,,,,,,
6241,,,,,,,,,,
6244,,,,,,,,,,
624A,6242,6243,,,,,,,,
7111,,,,,,,,,,
7112,,,,,,,,,,
7115,,,,,,,,,,
711A,7113,7114,,,,,,,,
7120,,,,,,,,,,
7131,,,,,,,,,,
7132,,,,,,,,,,
7139,,,,,,,,,,
7210,,,,,,,,,,
7221,,,,,,,,,,
7222,,,,,,,,,,
722A,7223,7224,,,,,,,,
8111,,,,,,,,,,
8112,,,,,,,,,,
8113,,,,,,,,,,
8114,,,,,,,,,,
8121,,,,,,,,,,
8122,,,,,,,,,,
8123,,,,,,,,,,
8129,,,,,,,,,,
8131,,,,,,,,,,
813A,8132,8133,,,,,,,,
813B,8134,8139,,,,,,,,
8140,,,,,,,,,,
GSLG,DELETE,,,,,,,,,
S001,DELETE,,,,,,,,,
S002,DELETE,,,,,,,,,
S003,DELETE,,,,,,,,,
S004,DELETE,,,,,,,,,
S005,DELETE,,,,,,,,,
S006,DELETE,,,,,,,,,
S009,DELETE,,,,,,,,,
T005,DELETE,,,,,,,,,
